Entity 86: Reversing. Pos: (1968.00, 3024.00), Dir: 1.0, Reason: Ledge Detected
Entity 85: Reversing. Pos: (1952.00, 3024.00), Dir: 1.0, Reason: Ledge Detected
Entity 85: Reversing. Pos: (768.20, 3024.00), Dir: -1.0, Reason: Wall Hit
Entity 85: Reversing. Pos: (768.20, 3024.00), Dir: 1.0, Reason: Wall Hit
Entity 85: Reversing. Pos: (1951.87, 3024.00), Dir: 1.0, Reason: Ledge Detected
Entity 90: Reversing. Pos: (3743.80, 3024.00), Dir: 1.0, Reason: Wall Hit
Entity 91: Reversing. Pos: (3743.80, 2909.33), Dir: 1.0, Reason: Wall Hit
Entity 90: Reversing. Pos: (3743.80, 3024.00), Dir: -1.0, Reason: Wall Hit
Entity 90: Reversing. Pos: (2560.20, 2930.67), Dir: -1.0, Reason: Wall Hit
Entity 91: Reversing. Pos: (2432.20, 3024.00), Dir: -1.0, Reason: Wall Hit
Entity 91: Reversing. Pos: (2432.20, 3024.00), Dir: 1.0, Reason: Wall Hit
Entity 90: Reversing. Pos: (3743.80, 3024.00), Dir: 1.0, Reason: Wall Hit
Entity 90: Reversing. Pos: (3743.80, 3024.00), Dir: -1.0, Reason: Wall Hit
Entity 91: Reversing. Pos: (3743.80, 3024.00), Dir: 1.0, Reason: Wall Hit
Entity 91: Reversing. Pos: (3743.80, 3024.00), Dir: -1.0, Reason: Wall Hit
Entity 90: Reversing. Pos: (2432.20, 3024.00), Dir: -1.0, Reason: Wall Hit
Entity 90: Reversing. Pos: (2432.20, 3024.00), Dir: 1.0, Reason: Wall Hit
Entity 91: Reversing. Pos: (2432.20, 3024.00), Dir: -1.0, Reason: Wall Hit
Entity 91: Reversing. Pos: (2432.20, 3024.00), Dir: 1.0, Reason: Wall Hit
Entity 90: Reversing. Pos: (3743.80, 3024.00), Dir: 1.0, Reason: Wall Hit
Entity 90: Reversing. Pos: (3743.80, 3024.00), Dir: -1.0, Reason: Wall Hit
Entity 86: Reversing. Pos: (15135.80, 2773.33), Dir: 1.0, Reason: Wall Hit
Entity 89: Reversing. Pos: (15135.80, 2821.33), Dir: 1.0, Reason: Wall Hit
Entity 92: Reversing. Pos: (15135.80, 2713.33), Dir: 1.0, Reason: Wall Hit
Entity 88: Reversing. Pos: (15135.80, 2773.33), Dir: 1.0, Reason: Wall Hit
Entity 87: Reversing. Pos: (15135.80, 2813.33), Dir: 1.0, Reason: Wall Hit
Entity 89: Reversing. Pos: (12800.93, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 86: Reversing. Pos: (12800.07, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 88: Reversing. Pos: (12800.07, 3024.00), Dir: -1.0, Reason: Ledge Detected
